,DTH,RTT,DJ,DL,UJ,UL,UTH,YOUTUBE_AUTO_MOS,Depth,Detail_node
0,7179501.707,12767780.0,941168.87,0.0,205313.37,0.0,6079195.9920000015,5,8,"['D 1 -> F_name: DTH  (F_Val: 7179501.707, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 12767780.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7179501.707, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 941168.87, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 7179501.707, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 12767780.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 941168.87, M_Val: 11000000) Branch: trueBranch']"
1,6206060.606000002,20419040.0,2529481.18,0.0,1720606.65,0.0,4709789.906,5,8,"['D 1 -> F_name: DTH  (F_Val: 6206060.606000002, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 20419040.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 6206060.606000002, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 2529481.18, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 6206060.606000002, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 20419040.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 2529481.18, M_Val: 11000000) Branch: trueBranch']"
2,4654930.16,4210950.0,1076875.16,0.0,763994.16,0.0,5150050.964,5,8,"['D 1 -> F_name: DTH  (F_Val: 4654930.16, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 4210950.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 4654930.16, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1076875.16, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 4654930.16, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 4210950.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1076875.16, M_Val: 11000000) Branch: trueBranch']"
3,10368824.79,2102830.0,370968.15,0.0,142236.89,0.0,5089374.56,5,8,"['D 1 -> F_name: DTH  (F_Val: 10368824.79, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2102830.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10368824.79, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 370968.15, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10368824.79, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2102830.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 370968.15, M_Val: 11000000) Branch: trueBranch']"
4,10811594.82,4945840.0,1050905.33,0.0,446649.53,0.0,4438059.247,5,8,"['D 1 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 11000000) Branch: trueBranch']"
5,10811594.82,4945840.0,1050905.33,0.0,446649.53,0.0,4438059.247,5,8,"['D 1 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10811594.82, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 4945840.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1050905.33, M_Val: 11000000) Branch: trueBranch']"
6,10059338.35,2104180.0,375038.9,0.0,113679.02,0.0,5702396.336,5,8,"['D 1 -> F_name: DTH  (F_Val: 10059338.35, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2104180.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10059338.35, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 375038.9, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10059338.35, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2104180.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 375038.9, M_Val: 11000000) Branch: trueBranch']"
7,7764705.882,6081600.0,1206762.05,0.0,998650.75,0.0,4971255.857,5,8,"['D 1 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 11000000) Branch: trueBranch']"
8,7764705.882,6081600.0,1206762.05,0.0,998650.75,0.0,4971255.857,5,8,"['D 1 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 7764705.882, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 6081600.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1206762.05, M_Val: 11000000) Branch: trueBranch']"
9,10238448.72,3530840.0,527979.49,0.0,266957.34,0.0,4716951.853999998,5,8,"['D 1 -> F_name: DTH  (F_Val: 10238448.72, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 3530840.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10238448.72, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 527979.49, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10238448.72, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 3530840.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 527979.49, M_Val: 11000000) Branch: trueBranch']"
